ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
824,4145.3,WB Vehicles,WB,5.0,-
825,4148.6,WB Vehicles,WB,3.3,-
826,4151.7,WB Vehicles,WB,3.1,-
827,4153.9,EB Vehicles,EB,14.8,-
828,4155.4,WB Vehicles,WB,3.7,-
829,4157.8,WB Vehicles,WB,2.4,-
830,4157.8,EB Vehicles,EB,3.9,-
831,4160.3,WB Vehicles,WB,2.5,-
832,4161.6,EB Vehicles,EB,3.8,-
833,4163.6,WB Vehicles,WB,3.3,-
834,4169.0,WB Vehicles,WB,5.4,-
835,4173.9,WB Vehicles,WB,4.9,-
836,4176.3,Posers,Poser,62.9,9.6
837,4185.4,WB Vehicles,WB,11.5,-
838,4189.1,WB Vehicles,WB,3.7,-
839,4189.9,EB Vehicles,EB,28.3,-
840,4192.8,Crossers,Crosser,65.8,6.7
841,4194.7,EB Vehicles,EB,4.8,-
842,4201.0,Posers,Poser,24.7,22.4
843,4225.9,WB Vehicles,WB,36.8,-
844,4228.3,Posers,Poser,27.3,19.7
845,4248.3,WB Vehicles,WB,22.4,-
846,4253.2,WB Vehicles,WB,4.9,-
847,4253.8,Posers,Poser,25.5,11.4
848,4263.3,WB Vehicles,WB,10.1,-
849,4270.3,Posers,Poser,16.5,14.8
850,4280.2,EB Vehicles,EB,85.5,-
