ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
381,1833.3,Posers,Poser,30.5,20.7
382,1835.2,WB Vehicles,WB,6.1,-
383,1864.5,EB Vehicles,EB,68.6,-
384,1867.4,Crossers,Crosser,50.8,5.5
385,1876.7,EB Vehicles,EB,12.2,-
386,1879.5,EB Vehicles,EB,2.8,-
387,1882.5,EB Vehicles,EB,3.0,-
388,1883.2,Crossers,Crosser,15.8,13.0
389,1895.6,EB Vehicles,EB,13.1,-
390,1898.7,EB Vehicles,EB,3.1,-
391,1901.0,WB Vehicles,WB,65.8,-
392,1901.7,EB Vehicles,EB,3.0,-
393,1904.0,WB Vehicles,WB,3.0,-
394,1907.7,Posers,Poser,74.4,31.0
395,1927.7,WB Vehicles,WB,23.7,-
396,1937.2,WB Vehicles,WB,9.5,-
397,1940.6,EB Vehicles,EB,38.9,-
398,1941.3,WB Vehicles,WB,4.1,-
399,1944.5,WB Vehicles,WB,3.2,-
400,1950.3,Posers,Poser,42.6,10.9
401,1962.6,EB Vehicles,EB,22.0,-
402,1965.5,EB Vehicles,EB,2.9,-
403,1966.0,WB Vehicles,WB,21.5,-
404,1968.4,WB Vehicles,WB,2.4,-
405,1970.0,Posers,Poser,19.7,6.8
406,1977.7,EB Vehicles,EB,12.2,-
407,1981.5,WB Vehicles,WB,13.1,-
408,1983.5,WB Vehicles,WB,2.0,-
409,1986.2,Posers,Poser,16.2,21.2
410,1989.8,WB Vehicles,WB,6.3,-
411,1997.5,WB Vehicles,WB,7.7,-
412,2011.6,Crossers,Crosser,128.4,8.9
413,2013.3,WB Vehicles,WB,15.8,-
414,2021.2,WB Vehicles,WB,7.9,-
415,2029.0,WB Vehicles,WB,7.8,-
416,2029.6,Posers,Poser,43.4,8.3
417,2038.8,Posers,Poser,9.2,5.9
418,2046.6,EB Vehicles,EB,68.9,-
419,2055.3,EB Vehicles,EB,8.7,-
420,2057.6,EB Vehicles,EB,2.3,-
421,2062.0,WB Vehicles,WB,33.0,-
422,2063.4,Crossers,Crosser,51.8,6.9
423,2070.1,EB Vehicles,EB,12.5,-
424,2073.0,EB Vehicles,EB,2.9,-
425,2079.7,Posers,Poser,40.9,8.6
426,2094.4,Posers,Poser,14.7,7.9
427,2103.1,Crossers,Crosser,39.7,7.7
428,2112.8,WB Vehicles,WB,50.8,-
429,2115.8,WB Vehicles,WB,3.0,-
430,2120.1,WB Vehicles,WB,4.3,-
431,2122.5,WB Vehicles,WB,2.4,-
432,2130.2,WB Vehicles,WB,7.7,-
433,2133.3,Crossers,Crosser,30.2,8.0
434,2136.4,WB Vehicles,WB,6.2,-
435,2149.5,EB Vehicles,EB,76.5,-
436,2158.5,WB Vehicles,WB,22.1,-
437,2164.8,WB Vehicles,WB,6.3,-
438,2165.3,Crossers,Crosser,32.0,9.2
439,2173.9,WB Vehicles,WB,9.1,-
440,2176.5,WB Vehicles,WB,2.6,-
441,2178.6,WB Vehicles,WB,2.1,-
442,2181.5,WB Vehicles,WB,2.9,-
443,2186.4,WB Vehicles,WB,4.9,-
444,2186.8,EB Vehicles,EB,37.3,-
445,2193.3,Crossers,Crosser,28.0,8.4
446,2199.5,WB Vehicles,WB,13.1,-
447,2205.8,WB Vehicles,WB,6.3,-
448,2219.5,EB Vehicles,EB,32.7,-
449,2229.6,WB Vehicles,WB,23.8,-
450,2229.9,EB Vehicles,EB,10.4,-
451,2232.6,EB Vehicles,EB,2.7,-
452,2236.8,WB Vehicles,WB,7.2,-
453,2237.6,EB Vehicles,EB,5.0,-
454,2244.4,EB Vehicles,EB,6.8,-
455,2246.9,Crossers,Crosser,53.6,1.9
456,2254.2,Crossers,Crosser,7.3,1.7
457,2255.8,EB Vehicles,EB,11.4,-
458,2258.4,EB Vehicles,EB,2.6,-
459,2261.2,EB Vehicles,EB,2.8,-
460,2264.8,EB Vehicles,EB,3.6,-
461,2268.0,EB Vehicles,EB,3.2,-
462,2268.9,WB Vehicles,WB,32.1,-
463,2272.5,WB Vehicles,WB,3.6,-
464,2275.2,WB Vehicles,WB,2.7,-
465,2278.8,WB Vehicles,WB,3.6,-
466,2281.2,WB Vehicles,WB,2.4,-
467,2284.4,WB Vehicles,WB,3.2,-
468,2287.3,WB Vehicles,WB,2.9,-
469,2290.8,WB Vehicles,WB,3.5,-
470,2296.5,WB Vehicles,WB,5.7,-
471,2299.3,WB Vehicles,WB,2.8,-
472,2300.7,Posers,Poser,206.3,7.3
473,2303.2,WB Vehicles,WB,3.9,-
474,2306.1,WB Vehicles,WB,2.9,-
475,2308.9,Crossers,Crosser,54.7,6.0
476,2315.7,Crossers,Crosser,6.8,5.1
477,2321.7,Posers,Poser,21.0,9.9
478,2332.0,WB Vehicles,WB,25.9,-
479,2333.7,EB Vehicles,EB,65.7,-
480,2335.6,WB Vehicles,WB,3.6,-
481,2341.0,EB Vehicles,EB,7.3,-
482,2343.1,WB Vehicles,WB,7.5,-
483,2346.8,EB Vehicles,EB,5.8,-
