ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
237,5063.5,Posers,Poser,51.7,34.3
238,5098.7,Posers,Poser,35.2,8.1
239,5122.9,Posers,Poser,24.2,25.5
240,5149.5,Posers,Poser,26.7,7.5
242,5172.3,Posers,Poser,6.2,13.4
243,5193.5,Posers,Poser,21.1,13.7
244,5219.5,Posers,Poser,26.1,11.7
246,5245.6,Posers,Poser,13.4,6.7
247,5254.3,Posers,Poser,8.6,17.8
248,5273.6,Posers,Poser,19.3,7.7
249,5283.7,Posers,Poser,10.2,20.4
250,5323.4,Posers,Poser,39.6,11.7
252,5365.6,Posers,Poser,21.1,32.4
