ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
120,1039.9,WB Vehicles,WB,6.5,-
121,1043.3,WB Vehicles,WB,3.4,-
122,1057.2,WB Vehicles,WB,14.0,-
123,1059.4,WB Vehicles,WB,2.2,-
124,1061.2,WB Vehicles,WB,1.8,-
125,1066.5,WB Vehicles,WB,5.2,-
126,1079.2,WB Vehicles,WB,12.8,-
127,1082.2,WB Vehicles,WB,3.0,-
128,1096.1,WB Vehicles,WB,13.9,-
129,1098.2,WB Vehicles,WB,2.1,-
130,1100.3,WB Vehicles,WB,2.1,-
131,1102.7,WB Vehicles,WB,2.4,-
132,1107.8,WB Vehicles,WB,5.1,-
133,1119.5,WB Vehicles,WB,11.6,-
134,1126.7,WB Vehicles,WB,7.3,-
135,1147.8,WB Vehicles,WB,21.1,-
136,1154.6,WB Vehicles,WB,6.7,-
137,1156.4,WB Vehicles,WB,1.9,-
138,1159.4,WB Vehicles,WB,3.0,-
139,1162.2,WB Vehicles,WB,2.8,-
140,1164.6,WB Vehicles,WB,2.4,-
141,1168.9,WB Vehicles,WB,4.2,-
142,1172.1,WB Vehicles,WB,3.3,-
143,1175.3,WB Vehicles,WB,3.2,-
144,1179.2,WB Vehicles,WB,3.9,-
145,1184.2,WB Vehicles,WB,5.0,-
146,1189.1,WB Vehicles,WB,4.9,-
147,1230.2,WB Vehicles,WB,41.0,-
148,1260.0,WB Vehicles,WB,29.8,-
149,1264.4,WB Vehicles,WB,4.4,-
150,1299.5,WB Vehicles,WB,35.2,-
151,1310.3,WB Vehicles,WB,10.7,-
152,1314.6,WB Vehicles,WB,4.3,-
153,1319.3,WB Vehicles,WB,4.7,-
154,1322.5,WB Vehicles,WB,3.3,-
155,1336.3,WB Vehicles,WB,13.8,-
156,1340.5,WB Vehicles,WB,4.2,-
157,1342.4,WB Vehicles,WB,1.9,-
158,1344.5,WB Vehicles,WB,2.1,-
159,1346.5,WB Vehicles,WB,2.0,-
160,1357.8,WB Vehicles,WB,11.3,-
161,1361.5,WB Vehicles,WB,3.7,-
162,1371.5,WB Vehicles,WB,10.0,-
163,1375.0,WB Vehicles,WB,3.4,-
164,1378.4,WB Vehicles,WB,3.4,-
165,1382.4,WB Vehicles,WB,4.1,-
166,1386.2,WB Vehicles,WB,3.8,-
167,1388.5,WB Vehicles,WB,2.3,-
168,1394.6,WB Vehicles,WB,6.1,-
169,1414.0,WB Vehicles,WB,19.4,-
170,1432.2,WB Vehicles,WB,18.2,-
171,1434.5,WB Vehicles,WB,2.3,-
172,1437.5,WB Vehicles,WB,3.0,-
173,1452.3,WB Vehicles,WB,14.8,-
174,1509.0,WB Vehicles,WB,56.7,-
175,1511.7,WB Vehicles,WB,2.7,-
176,1529.9,WB Vehicles,WB,18.2,-
177,1547.6,WB Vehicles,WB,17.6,-
178,1562.3,WB Vehicles,WB,14.7,-
179,1579.3,WB Vehicles,WB,17.0,-
180,1625.1,WB Vehicles,WB,45.8,-
181,1633.2,WB Vehicles,WB,8.0,-
182,1638.8,WB Vehicles,WB,5.6,-
183,1659.8,WB Vehicles,WB,21.1,-
184,1661.9,WB Vehicles,WB,2.1,-
185,1665.3,WB Vehicles,WB,3.4,-
186,1671.0,WB Vehicles,WB,5.7,-
187,1693.0,WB Vehicles,WB,22.0,-
188,1696.6,WB Vehicles,WB,3.6,-
189,1701.3,WB Vehicles,WB,4.7,-
190,1704.5,WB Vehicles,WB,3.2,-
191,1713.7,WB Vehicles,WB,9.2,-
192,1763.3,WB Vehicles,WB,49.6,-
193,1766.0,WB Vehicles,WB,2.8,-
194,1768.5,WB Vehicles,WB,2.4,-
195,1770.9,WB Vehicles,WB,2.5,-
196,1778.1,WB Vehicles,WB,7.1,-
197,1812.0,WB Vehicles,WB,34.0,-
198,1816.3,WB Vehicles,WB,4.3,-
199,1826.5,WB Vehicles,WB,10.2,-
200,1829.1,WB Vehicles,WB,2.6,-
201,1835.2,WB Vehicles,WB,6.1,-
202,1901.0,WB Vehicles,WB,65.7,-
203,1904.0,WB Vehicles,WB,3.1,-
204,1927.7,WB Vehicles,WB,23.7,-
205,1937.2,WB Vehicles,WB,9.5,-
206,1941.3,WB Vehicles,WB,4.1,-
207,1944.5,WB Vehicles,WB,3.2,-
208,1966.0,WB Vehicles,WB,21.5,-
209,1968.4,WB Vehicles,WB,2.5,-
210,1981.5,WB Vehicles,WB,13.0,-
211,1983.5,WB Vehicles,WB,2.0,-
212,1989.8,WB Vehicles,WB,6.3,-
213,1997.5,WB Vehicles,WB,7.7,-
214,2013.3,WB Vehicles,WB,15.8,-
215,2021.2,WB Vehicles,WB,7.8,-
216,2029.0,WB Vehicles,WB,7.8,-
217,2062.0,WB Vehicles,WB,33.0,-
218,2112.8,WB Vehicles,WB,50.8,-
219,2115.8,WB Vehicles,WB,3.0,-
220,2120.1,WB Vehicles,WB,4.3,-
221,2122.5,WB Vehicles,WB,2.4,-
222,2130.2,WB Vehicles,WB,7.7,-
223,2136.4,WB Vehicles,WB,6.2,-
224,2158.5,WB Vehicles,WB,22.1,-
225,2164.8,WB Vehicles,WB,6.3,-
226,2173.9,WB Vehicles,WB,9.1,-
227,2176.5,WB Vehicles,WB,2.6,-
228,2178.6,WB Vehicles,WB,2.1,-
229,2181.5,WB Vehicles,WB,2.9,-
230,2186.4,WB Vehicles,WB,4.9,-
231,2199.5,WB Vehicles,WB,13.1,-
232,2205.8,WB Vehicles,WB,6.2,-
233,2229.6,WB Vehicles,WB,23.8,-
234,2236.8,WB Vehicles,WB,7.2,-
235,2268.9,WB Vehicles,WB,32.1,-
236,2272.5,WB Vehicles,WB,3.6,-
237,2275.2,WB Vehicles,WB,2.8,-
238,2278.8,WB Vehicles,WB,3.6,-
239,2281.2,WB Vehicles,WB,2.3,-
240,2284.4,WB Vehicles,WB,3.2,-
241,2287.3,WB Vehicles,WB,2.9,-
242,2290.8,WB Vehicles,WB,3.5,-
243,2296.5,WB Vehicles,WB,5.7,-
244,2299.3,WB Vehicles,WB,2.8,-
245,2303.2,WB Vehicles,WB,3.9,-
246,2306.1,WB Vehicles,WB,2.9,-
247,2332.0,WB Vehicles,WB,25.9,-
248,2335.6,WB Vehicles,WB,3.6,-
249,2343.1,WB Vehicles,WB,7.5,-
250,2346.8,WB Vehicles,WB,3.7,-
251,2365.0,WB Vehicles,WB,18.2,-
252,2368.1,WB Vehicles,WB,3.2,-
253,2373.7,WB Vehicles,WB,5.6,-
254,2381.8,WB Vehicles,WB,8.1,-
255,2391.0,WB Vehicles,WB,9.2,-
256,2415.0,WB Vehicles,WB,24.1,-
257,2419.7,WB Vehicles,WB,4.6,-
258,2425.7,WB Vehicles,WB,6.0,-
259,2428.8,WB Vehicles,WB,3.1,-
260,2439.0,WB Vehicles,WB,10.2,-
261,2443.5,WB Vehicles,WB,4.5,-
262,2454.4,WB Vehicles,WB,10.9,-
263,2482.0,WB Vehicles,WB,27.6,-
264,2509.6,WB Vehicles,WB,27.6,-
265,2519.6,WB Vehicles,WB,10.0,-
266,2545.4,WB Vehicles,WB,25.8,-
267,2568.6,WB Vehicles,WB,19.9,-
268,2573.7,WB Vehicles,WB,5.1,-
269,2589.9,WB Vehicles,WB,16.2,-
270,2621.5,WB Vehicles,WB,31.6,-
271,2640.1,WB Vehicles,WB,18.6,-
272,2650.6,WB Vehicles,WB,10.4,-
273,2653.1,WB Vehicles,WB,2.5,-
274,2655.3,WB Vehicles,WB,2.2,-
275,2671.7,WB Vehicles,WB,16.5,-
276,2687.7,WB Vehicles,WB,16.0,-
